phc_id,state,district,subdistrict,name,latitude,longitude,is_active,beds,doctors,nurses
PHCR014340,Madhya Pradesh,Indore,Mhow,HASALPUR,22.48762667,75.63281,False,,,
PHCR014341,Madhya Pradesh,Alirajpur,Bhavra,PHC Jhiran,22.491851,74.446701,False,,,
PHCR014342,Madhya Pradesh,Hoshangabad,Kesla,Tangna,22.49466167,77.68507333,False,,,
PHCR014343,Madhya Pradesh,Mandla,Bichhiya,Anjaniya,22.49602157,80.50853399,False,,,
PHCR014344,Madhya Pradesh,Dewas,Khategaon,Nemawar,22.49659304,76.97749154,False,,,
PHCR014345,Madhya Pradesh,Seoni,Chhapara,pd PHC Deorikala,22.50954167,79.54565,False,,,
PHCR014346,Madhya Pradesh,Dhar,Bagh,Narwali,22.510852,74.789082,False,,,
PHCR014347,Madhya Pradesh,Mandla,Mawai,Anjani,22.51317244,80.9149086,False,,,
PHCR014348,Madhya Pradesh,Alirajpur,Udaigarh,PHC BORI,22.513877,74.691136,False,,,
PHCR014349,Madhya Pradesh,Dhar,Tirla,KHANDANBUJURG,22.51559097,75.3080347,False,,,
PHCR014350,Madhya Pradesh,Chhindwada,Harrai,BATKHAPA,22.51614539,79.03448301,False,,,
PHCR014351,Madhya Pradesh,Mandla,Nainpur,Pindrai,22.51772833,80.034805,False,,,
PHCR014352,Madhya Pradesh,Hoshangabad,Seoni-Malwa,Shivpur,22.52212119,77.31126276,False,,,
PHCR014353,Madhya Pradesh,Indore,Mhow,BHAGORA,22.52477822,75.81719668,False,,,
PHCR014354,Madhya Pradesh,Mandla,Bichhiya,Madhopur,22.5308497,80.47122642,False,,,
PHCR014355,Madhya Pradesh,Indore,Mhow,KODARIYA,22.53302622,75.77079212,False,,,
PHCR014356,Madhya Pradesh,Indore,Mhow,GAWALI PALASIYA,22.53322404,75.72576744,False,,,
PHCR014357,Madhya Pradesh,Dewas,Kannod,Satwas,22.535711,76.687415,False,,,
PHCR014358,Madhya Pradesh,Mandla,Bamhani banjar(Mandla),Hirdenagar,22.53700875,80.40123728,False,,,
PHCR014359,Madhya Pradesh,Indore,Mhow,SIMROL,22.5372681,75.91354846,False,,,
PHCR014360,Madhya Pradesh,Hoshangabad,Kesla,Jamani,22.53782333,77.70859333,False,,,
PHCR014361,Madhya Pradesh,Dewas,Bagli,Udainagar,22.53832567,76.20241197,False,,,
PHCR014362,Madhya Pradesh,Alirajpur,Udaigarh,PHC KANAKAKD,22.540842,74.502382,False,,,
PHCR014363,Madhya Pradesh,Dewas,Bagli,Punjapura,22.54958481,76.37064129,False,,,
PHCR014364,Madhya Pradesh,Indore,Mhow,UPHC Mhow,22.551223,75.759463,False,,,
PHCR014365,Madhya Pradesh,Jhabua,Ranapur,MORDUNDIYA,22.55178725,74.44615247,False,,,
